  BEDYIU09, 32.848, 55.548, 3.950, Fdd2
  BEDYIU10, 32.833, 55.503, 3.955, Fdd2
  BEDYIU11, 32.827, 55.484, 3.958, Fdd2
  BEDYIU12, 32.821, 55.506, 3.959, Fdd2
  BEDYIU13, 32.797, 55.453, 3.967, Fdd2
  BEDYIU14, 32.788, 55.443, 3.969, Fdd2
  BEDYIU15, 32.787, 55.448, 3.970, Fdd2
  BEDYIU16, 32.770, 55.439, 3.975, Fdd2
  BEDYIU17, 32.765, 55.435, 3.977, Fdd2
    BEFKAB, 32.751, 38.485, 4.663, Fdd2
    BEGNAF, 26.105, 3.755, 23.908, C2/c
    BEGVOY, 3.799, 19.940, 25.874, Pbc21
    BEJMIQ, 20.489, 3.935, 21.140, P21/c
    BEJXEX, 29.362, 29.362, 5.411, P65
    BEKTUG, 30.160, 30.160, 3.540, P6
    BEPRUN, 22.212, 3.984, 25.533, P21
    BEQFEK, 43.939, 43.939, 8.539, I41/a
    BEQGIN, 28.299, 4.993, 29.137, C2/c
  BEQGIN01, 27.997, 4.918, 28.971, C2/c
  BEQGIN02, 28.502, 5.051, 29.231, C2/c
  BEQGIN03, 28.301, 4.998, 29.154, C2/c
  BEQGIN04, 27.906, 4.886, 28.927, C2/c
  BEQGIN05, 28.201, 4.972, 29.106, C2/c
  BEQGIN06, 27.844, 4.867, 28.892, C2/c
    BEQGOW, 37.437, 37.437, 6.049, R-3
    BEVFER, 48.330, 28.302, 3.838, Pban
  BEVFER01, 52.040, 97.015, 3.797, Fddd
    BEVFIV, 38.629, 32.690, 3.861, Pban
    BEVXOP, 25.590, 4.876, 28.326, I2/a
  BEVXOP10, 25.259, 4.876, 28.326, I2/a
  BEYDAO01, 38.723, 38.723, 7.203, R3c
    BHPNPH, 33.550, 4.720, 31.110, C2/c
    BICLEG, 25.558, 4.524, 23.971, C2/c
    BIJDIH, 35.980, 5.946, 35.530, P21/c
    BIJQAN, 35.666, 41.898, 4.188, Fdd2
    BIKFIK, 4.325, 33.020, 43.390, Cmca
    BIKGIM, 31.086, 31.086, 4.654, R3m
    BIKPET, 33.377, 33.377, 4.975, P63
    BIKYOM, 40.424, 6.988, 44.765, I2/a
  BIKYOM01, 40.424, 6.988, 44.765, I2/a
    BIMDOR, 41.663, 41.663, 7.843, R-3
    BINREY, 35.272, 4.717, 24.636, C2/c
  BINREY01, 35.272, 4.717, 24.636, C2/c
    BIPTDZ, 20.842, 3.977, 21.120, P21/c
    BIRWII, 52.144, 52.144, 9.171, R-3
    BISYEH, 28.950, 41.552, 5.099, Fdd2
  BITSAY04, 25.190, 3.850, 25.460, Cc
  BITSAY05, 25.206, 3.848, 25.040, C2/c
    BITVIJ, 33.810, 33.810, 6.065, I41/a
    BIWRAB, 37.362, 7.341, 37.814, Ia
    BIYYUF, 42.240, 55.300, 6.440, Fdd2
    BIZCIY, 27.104, 3.804, 27.047, C2/c
    BMFXZP, 26.740, 5.138, 38.220, C2/c
    BOBWUN, 34.319, 34.319, 6.786, R-3
    BOJYIL, 33.976, 33.976, 4.607, R-3
    BOMVIL, 49.238, 6.095, 45.994, C2
    BOPFOC, 31.875, 3.987, 22.322, C2/c
    BOSVEK, 38.260, 38.260, 5.605, R3
  BOSVEK01, 38.260, 38.260, 5.605, R-3
  BOSVEK02, 38.529, 38.529, 5.669, R3
    BOTYUE, 22.897, 3.948, 30.398, Pna21
    BOWMEH, 32.154, 4.870, 25.326, C2/c
    BOWWAL, 36.000, 36.000, 5.430, R-3
    BOXGAW, 31.276, 3.782, 21.663, Pa
  BOXGAW01, 31.276, 3.782, 21.663, P21/a
    BOXSIT, 52.642, 6.055, 36.419, C2/c
    BOXSOZ, 36.435, 5.943, 47.086, I2/c
    BOXXEU, 29.380, 4.594, 23.618, I2/a
    BOYSAM, 37.551, 42.477, 5.902, Fdd2
    BOZFOM, 34.605, 4.486, 27.185, C2/c
  BRABZA01, 22.380, 19.460, 3.880, Pman
    BUBWAY, 4.330, 24.657, 24.592, P21/c
    BUCHUE, 25.759, 3.721, 22.610, P21/c
    BUCKAN, 27.696, 3.685, 21.599, Pca21
    BUGXEI, 45.269, 45.269, 6.942, R-3
